id,code,name
413,ARCH 552 01,Ph.D. Seminar: History/Theory II
414,ARCH 554 01,Ph.D. Seminar: History/Theory IV
415,ARCH 555 01,PhD Independent Study
416,ARCH 559 01,Ph.D. Seminar: Ecosystems in Architecture II
417,ARCH 569 01,Ph.D. Seminar: Ecosystems in Architecture IV
418,ART 004 01,Words and Pictures
419,ART 007 01,Art of the Game
420,ART 014 01,Research in the Making
421,ART 106 01,Art of the Printed Word
422,ART 110 01,Sculpture Basics
423,ART 111 01,Visual Thinking
424,ART 114 01,Basic Drawing
425,ART 114 02,Basic Drawing
426,ART 114 03,Basic Drawing
427,ART 114 04,Basic Drawing
428,ART 130 01,Painting Basics
429,ART 130 02,Painting Basics
430,ART 132 01,Introduction to Graphic Design
431,ART 136 01,Black & White Photography Capturing Light
432,ART 138 01,Digital Photography Seeing in Color
433,ART 138 02,Digital Photography Seeing in Color
434,ART 142 01,Introductory Documentary Filmmaking
434,FILM 162 01,Introductory Documentary Filmmaking
435,ART 145 01,Introduction to Digital Video
436,ART 210 01,Sculpture as Object
437,ART 224 01,Figure Drawing
439,ART 264 01,Typography!
440,ART 265 01,"Typography: Expression, Structure, and Sequence"
441,ART 266 01,History of Graphic Design
442,ART 285 01,Digital Animation
443,ART 294 01,Technology and the Promise of Transformation
444,ART 306 01,Art of the Printed Word
445,ART 331 01,Intermediate Painting
446,ART 337 01,Picturing Us: Representation in Digital Photography
447,ART 341 01,Intermediate Film Writing and Directing
447,FILM 355 01,Intermediate Film Writing and Directing
448,ART 342 01,Intermediate Documentary Filmmaking
448,FILM 356 01,Intermediate Documentary Filmmaking
449,ART 356 01,Printmaking I
450,ART 360 01,Hidden Truth
451,ART 369 01,Interactive Design and the Internet: Software for People
453,ART 395 01,Junior Seminar
454,ART 401 01,Photography Project Seminar
455,ART 421 01,Advanced Drawing
456,ART 433 01,Painting Studio: Space and Abstraction
457,ART 443 01,Advanced Film Writing and Directing
457,FILM 484 01,Advanced Film Writing and Directing
458,ART 457 01,Interdisciplinary Printmaking
459,ART 469 01,"Advanced Graphic Design: Interpretation, Translation"
