number,rating,subject,term,workload,year
491,4.0,AMTH,Fall,3.0,2015.0
491,4.5,AMTH,Spring,4.0,2015.0
491,5.0,AMTH,Fall,3.5,2012.0
491,4.0,AMTH,Spring,4.25,2011.0
011,4.75,ANTH,Fall,3.75,2019.0
011,4.833,ANTH,Spring,3.222,2015.0
011,4.667,ANTH,Spring,3.333,2013.0
011,4.5,ANTH,Fall,2.875,2011.0
011,4.833,ANTH,Fall,2.667,2009.0
061,3.7,ANTH,Fall,2.0,2019.0
061,4.4,ANTH,Spring,2.786,2019.0
116,3.9530000000000003,ANTH,Fall,2.833,2019.0
116,2.742,ANTH,Fall,2.29,2018.0
116,3.038,ANTH,Fall,2.308,2016.0
116,3.615,ANTH,Fall,2.622,2015.0
116,3.125,ANTH,Fall,2.35,2014.0
116,3.208,ANTH,Fall,2.396,2013.0
116,3.121,ANTH,Fall,2.22,2012.0
116,3.2560000000000002,ANTH,Fall,2.385,2011.0
116,3.077,ANTH,Fall,2.519,2010.0
116,2.935,ANTH,Fall,2.694,2009.0
129,4.75,ANTH,Fall,3.5,2019.0
160,4.667,ANTH,Fall,3.111,2019.0
171,3.444,ANTH,Fall,2.011,2019.0
171,3.722,ANTH,Fall,2.057,2018.0
171,4.286,ANTH,Spring,2.0,2018.0
171,4.333,ANTH,Spring,2.0,2017.0
171,2.8890000000000002,ANTH,Spring,2.444,2016.0
171,4.25,ANTH,Spring,2.75,2015.0
171,3.923,ANTH,Spring,2.667,2014.0
171,2.8,ANTH,Fall,2.0,2012.0
171,3.313,ANTH,Fall,2.75,2011.0
171,3.059,ANTH,Fall,2.6,2010.0
205,2.765,ANTH,Fall,2.588,2019.0
205,4.056,ANTH,Spring,2.778,2016.0
205,3.583,ANTH,Fall,2.833,2011.0
211,5.0,ANTH,Fall,3.571,2019.0
211,3.625,ANTH,Fall,3.375,2018.0
211,3.875,ANTH,Fall,3.25,2009.0
236,4.0,ANTH,Fall,2.5,2019.0
244,4.833,ANTH,Fall,3.0,2017.0
244,4.0,ANTH,Fall,3.333,2016.0
244,4.389,ANTH,Fall,3.167,2012.0
244,4.4,ANTH,Fall,3.0,2011.0
244,4.5,ANTH,Fall,3.313,2009.0
258,4.667,ANTH,Fall,3.333,2019.0
269,3.727,ANTH,Fall,2.364,2019.0
300,3.653,ANTH,Fall,2.2,2019.0
300,3.586,ANTH,Fall,2.607,2018.0
300,3.174,ANTH,Fall,2.227,2017.0
300,3.615,ANTH,Fall,2.846,2016.0
309,4.333,ANTH,Fall,2.556,2019.0
309,4.538,ANTH,Spring,2.692,2019.0
309,4.25,ANTH,Fall,2.875,2016.0
316L,3.333,ANTH,Fall,2.5,2019.0
316L,4.5,ANTH,Fall,2.5,2018.0
316L,3.25,ANTH,Spring,2.333,2018.0
316L,4.0,ANTH,Fall,2.5,2016.0
316L,3.0,ANTH,Spring,2.333,2016.0
316L,3.778,ANTH,Spring,1.889,2015.0
316L,4.571,ANTH,Spring,2.571,2014.0
322,4.286,ANTH,Fall,3.286,2019.0
322,4.75,ANTH,Fall,3.25,2018.0
322,3.875,ANTH,Fall,3.75,2017.0
342,4.167,ANTH,Fall,3.167,2019.0
342,4.0,ANTH,Spring,3.0,2017.0
342,3.091,ANTH,Fall,2.273,2011.0
342,3.667,ANTH,Fall,2.5,2009.0
366,4.417,ANTH,Fall,4.083,2019.0
