id,code,name
506,CPLT 699,Heidegger's Being and Time
506,GMAN 227,Heidegger's Being and Time
506,GMAN 603,Heidegger's Being and Time
506,HUMS 330,Heidegger's Being and Time
506,LITR 330,Heidegger's Being and Time
506,PHIL 402,Heidegger's Being and Time
506,PHIL 602,Heidegger's Being and Time
507,CPLT 724,Lit & Phil from Locke to Kant
507,ENGL 729,Lit & Phil from Locke to Kant
508,CPLT 754,Marxist Cultural Theory
508,ENGL 915,Marxist Cultural Theory
509,CPLT 841,The Danube in Lit & Film TR
509,FILM 409,The Danube in Lit & Film TR
509,LITR 306,The Danube in Lit & Film TR
509,RSEE 327,The Danube in Lit & Film TR
509,RUSS 327,The Danube in Lit & Film TR
509,RUSS 776,The Danube in Lit & Film TR
510,CPLT 842,Imperialist Modernism
511,CPLT 913,RadicalCinemas ofLatin America
511,FILM 363,RadicalCinemas ofLatin America
511,FILM 690,RadicalCinemas ofLatin America
511,LAST 360,RadicalCinemas ofLatin America
511,LITR 360,RadicalCinemas ofLatin America
512,CPLT 917,Foundations of Film & Media
512,FILM 601,Foundations of Film & Media
513,CPLT 933,British Cinema
513,ENGL 384,British Cinema
513,ENGL 928,British Cinema
513,FILM 461,British Cinema
513,FILM 751,British Cinema
513,LITR 364,British Cinema
513,THST 416,British Cinema
514,CPLT 950,Latin American Gender Debates
514,SPAN 601,Latin American Gender Debates
515,CPLT 952,ModernNovel inBrazil &Japan TR
515,EALL 286,ModernNovel inBrazil &Japan TR
515,EALL 586,ModernNovel inBrazil &Japan TR
515,EAST 261,ModernNovel inBrazil &Japan TR
515,EAST 561,ModernNovel inBrazil &Japan TR
515,HUMS 290,ModernNovel inBrazil &Japan TR
515,LITR 285,ModernNovel inBrazil &Japan TR
515,PORT 360,ModernNovel inBrazil &Japan TR
516,CPLT 960,The Margins of the Law
516,SPAN 914,The Margins of the Law
517,CPSC 100,Intro Computing & Programming
518,CPSC 150,CompSci&ModrnIntellctualAgenda
519,CPSC 183,"Law, Technology, & Culture"
520,CPSC 201,Intro to Computer Science
521,CPSC 202,MathematiclToolsForComputerSci
522,CPSC 223,DataStructres&ProgrmmngTechnqs
523,CPSC 257,Real-World InformationSecurity
524,CPSC 276,Intro Digital Humanities
525,CPSC 290,Directed Research
526,CPSC 323,SystemsProgramng&ComputerOrgzn
527,CPSC 334,Creative Embedded Systems
529,CPSC 367,Cryptography and Security
530,CPSC 376,Advanced Digital Humanities
531,CPSC 422,OperatingSysDesign&Implemntatn
531,CPSC 522,OperatingSysDesign&Implemntatn
532,CPSC 427,Object-Oriented Programming
532,CPSC 527,Object-Oriented Programming
533,CPSC 431,Algorithmic Computer Music
533,CPSC 531,Algorithmic Computer Music
533,MUSI 428,Algorithmic Computer Music
534,CPSC 433,Computer Networks
534,CPSC 533,Computer Networks
535,CPSC 436,The HW/SW Interface
535,CPSC 536,The HW/SW Interface
536,CPSC 437,Intro to Database Systems
536,CPSC 537,Intro to Database Systems
537,CPSC 446,Data and Info. Visualization
537,CPSC 546,Data and Info. Visualization
538,CPSC 449,Computer Architecture & AI
538,CPSC 549,Computer Architecture & AI
538,EENG 422,Computer Architecture & AI
538,ENAS 907,Computer Architecture & AI
540,CPSC 454,Software Analysis&Verification
540,CPSC 554,Software Analysis&Verification
541,CPSC 455,Economics and Computation
541,CPSC 555,Economics and Computation
541,ECON 425,Economics and Computation
542,CPSC 459,Building Interactive Machines
542,CPSC 559,Building Interactive Machines
543,CPSC 460,Automata Theory
543,CPSC 560,Automata Theory
544,CPSC 462,Spectral Graph Theory
544,CPSC 562,Spectral Graph Theory
545,CPSC 463,Algorithms via Optimization
545,CPSC 563,Algorithms via Optimization
546,CPSC 469,Randomized Algorithms
546,CPSC 569,Randomized Algorithms
547,CPSC 472,Intelligent Robotics
547,CPSC 572,Intelligent Robotics
548,CPSC 474,Comp Intelligence for Games
548,CPSC 574,Comp Intelligence for Games
550,CPSC 478,Computer Graphics
550,CPSC 578,Computer Graphics
551,CPSC 480,Directed Reading
552,CPSC 490,Senior Project
