subject,number,section,times,locations,areas,skills,num_students,rating,workload,Hu,Sc,So,L,QR,WR
PSYC,376,1,TTh 13.00-14.15,HLH17 111,"Sc, So",[],32.0,3.79,2.98,False,True,True,False,False,False
PSYC,409,1,W 13.30-15.20,HLH17 113,So,[],10.0,4.27,3.45,False,False,True,False,False,False
PSYC,416,1,T 13.30-15.20,SSS 201,So,[],19.0,4.35,3.21,False,False,True,False,False,False
PSYC,417,1,Th 9.25-11.15,K 207,So,[],20.0,4.52,3.05,False,False,True,False,False,False
PSYC,422,1,M 13.30-15.20,WLH 013,Hu,[],15.0,4.39,2.67,True,False,False,False,False,False
PSYC,430,1,T 9.25-11.15,SSS 201,So,[],21.0,4.38,2.99,False,False,True,False,False,False
PSYC,493,1,1 HTBA,,,[],39.0,4.34,3.2800000000000002,False,False,False,False,False,False
PSYC,495,1,1 HTBA,,,[],28.0,4.31,2.67,False,False,False,False,False,False
PSYC,499,1,1 HTBA,,,[],10.0,4.58,4.02,False,False,False,False,False,False
PSYC,509,1,W 9.25-11.15,K 207,,[],28.0,3.47,2.69,False,False,False,False,False,False
PSYC,530,1,MW 11.35-12.50,K 207,,[],17.0,3.71,2.51,False,False,False,False,False,False
PSYC,554,1,T 14.30-17.30,EVANS 2210,,[],16.0,3.75,2.88,False,False,False,False,False,False
PSYC,616,1,T 13.30-15.20,SSS 201,,[],19.0,4.38,3.16,False,False,False,False,False,False
PSYC,617,1,Th 9.25-11.15,,,[],20.0,4.55,3.11,False,False,False,False,False,False
PSYC,664,1,T 13.00-14.50,LEPH 105,,[],4.0,4.67,3.33,False,False,False,False,False,False
PSYC,684,1,T 9.10-10.50,TM405 208,,[],2.0,4.88,3.23,False,False,False,False,False,False
PSYC,689,1,M 9.00-10.30,TM405 208,,[],2.0,4.75,3.0,False,False,False,False,False,False
PSYC,699,1,1 HTBA,,,[],6.0,4.83,4.7,False,False,False,False,False,False
PSYC,702,1,W 14.30-15.45,K 207,,[],14.0,3.2,1.33,False,False,False,False,False,False
PSYC,704,1,F 11.35-12.50,K 207,,[],13.0,3.38,2.0,False,False,False,False,False,False
PSYC,708,1,W 14.30-15.45,K 207,,[],12.0,4.15,2.08,False,False,False,False,False,False
PSYC,710,1,M 14.30-15.45,K 207,,[],18.0,4.58,1.13,False,False,False,False,False,False
PSYC,720,1,Th 11.30-12.50,K 207,,[],14.0,3.95,1.97,False,False,False,False,False,False
PSYC,724,1,1 HTBA,,,[],3.0,4.75,3.0,False,False,False,False,False,False
PSYC,725,1,1 HTBA,,,[],1.0,4.5,3.5,False,False,False,False,False,False
PSYC,727,1,1 HTBA,,,[],4.0,4.67,2.67,False,False,False,False,False,False
PSYC,729,1,1 HTBA,,,[],4.0,5.0,3.0,False,False,False,False,False,False
PSYC,731,1,1 HTBA,,,[],8.0,5.0,3.0,False,False,False,False,False,False
PSYC,732,1,1 HTBA,,,[],3.0,,,False,False,False,False,False,False
PSYC,733,1,1 HTBA,,,[],5.0,4.75,2.75,False,False,False,False,False,False
PSYC,735,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,737,1,1 HTBA,,,[],5.0,3.0,2.0,False,False,False,False,False,False
PSYC,739,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,741,1,1 HTBA,,,[],9.0,4.0,1.5,False,False,False,False,False,False
PSYC,742,1,1 HTBA,,,[],6.0,5.0,1.5,False,False,False,False,False,False
PSYC,744,1,1 HTBA,,,[],10.0,5.0,2.0,False,False,False,False,False,False
PSYC,745,1,Th 14.30-15.45 + 1,K 101B,,[],4.0,4.69,3.31,False,False,False,False,False,False
PSYC,752,1,1 HTBA,,,[],4.0,5.0,4.0,False,False,False,False,False,False
PSYC,753,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,754,1,1 HTBA,,,[],3.0,4.75,2.0,False,False,False,False,False,False
PSYC,755,1,1 HTBA,,,[],9.0,5.0,2.25,False,False,False,False,False,False
PSYC,756,1,1 HTBA,,,[],4.0,4.29,2.33,False,False,False,False,False,False
PSYC,757,1,1 HTBA,,,[],10.0,5.0,5.0,False,False,False,False,False,False
PSYC,758,1,F 10.00-11.15,,,[],15.0,5.0,5.0,False,False,False,False,False,False
PSYC,759,1,1 HTBA,,,[],3.0,,,False,False,False,False,False,False
PSYC,766,1,1 HTBA,,,[],8.0,5.0,3.0,False,False,False,False,False,False
PSYC,771,1,1 HTBA,,,[],4.0,3.0,3.0,False,False,False,False,False,False
PSYC,775,1,1 HTBA,,,[],2.0,5.0,2.67,False,False,False,False,False,False
PSYC,777,1,1 HTBA,,,[],1.0,5.0,,False,False,False,False,False,False
PSYC,778,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,782,1,1 HTBA,,,[],,,,False,False,False,False,False,False
PSYC,801,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,801,2,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,802,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,802,2,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,802,3,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,811,1,Th 14.15-15.45,TM405 208,,[],6.0,4.72,3.22,False,False,False,False,False,False
PSYC,817,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,817,2,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,817,3,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,817,4,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,817,5,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,817,6,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,1,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,2,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,3,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,4,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,5,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,6,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,7,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,8,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,9,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,10,1 HTBA,,,[],1.0,,,False,False,False,False,False,False
PSYC,920,11,1 HTBA,,,[],2.0,,,False,False,False,False,False,False
