date,users,sessions,bounceRate,avgTimeonPage,Pageviews,t,weekday,month,year
2019-05-23,6123,6745,82.17939214232764,126.30387143900657,9483,1004,4,5,2019
2019-05-24,5437,5959,83.35291156234268,130.03649310191366,8206,1005,5,5,2019
2019-05-25,7045,7708,85.62532433834976,140.2481907194551,10057,1006,6,5,2019
2019-05-26,5238,5729,83.52242974341073,137.40353460972017,7765,1007,7,5,2019
2019-05-27,5515,6017,83.92886820674755,130.9258049463369,8160,1008,1,5,2019
2019-05-28,6046,6624,80.85748792270532,127.41055517477724,9542,1009,2,5,2019
2019-05-29,5537,6035,84.25849212924606,120.20762155059133,8318,1010,3,5,2019
2019-05-30,5402,5988,83.73413493653975,144.56302916274694,8114,1011,4,5,2019
2019-05-31,5001,5450,85.11926605504587,122.66817496229261,7438,1012,5,5,2019
2019-06-01,4446,4799,87.1848301729527,149.64543361473523,6102,1013,6,6,2019
2019-06-02,4620,4986,86.84316085038107,152.68365817091455,6320,1014,7,6,2019
2019-06-03,5334,5788,84.36420179682102,130.84722222222223,7588,1015,1,6,2019
2019-06-04,6058,6579,85.95531235750113,138.10996189439302,8416,1016,2,6,2019
2019-06-05,5452,5858,86.41174462273814,133.9568862275449,7528,1017,3,6,2019
2019-06-06,7648,8233,85.59455848414915,121.98137876386687,10757,1018,4,6,2019
2019-06-07,7199,7699,87.77763345889078,138.03172205438065,9685,1019,5,6,2019
2019-06-08,4225,4555,86.2788144895719,145.78231292517006,5731,1020,6,6,2019
2019-06-09,6623,7132,86.44139091418957,137.5430954587581,9290,1021,7,6,2019
